Moon Carver,The ominous aura of that monster has indeed begun to fade.
Moon Carver,The effects of the Sigil of Permission last but a short time.
Moon Carver,It will be some time before the Overlord of the Vortex can make any waves again.
Ningguang: "We are indebted to you for your assistance. If the adepti hadn't happened to be here, the future of Liyue Harbor would surely have been in great jeopardy..."
Cloud Retainer: "Hmph, save your flattery. We didn't just ""happen"" to be here... Surely you won't pretend to have forgotten the reason for which we came?"
Madame Ping,"Come now, there's no need for such harsh words, Cloud Retainer:."
Madame Ping,"I've heard that when Ningguang: began learning to do business, she had already started setting aside part of her then-limited income in preparation for building the Jade Chamber."
Madame Ping,"At first, it was only the size of a small room. But with continued expansion, it has become the palace that lies before you now."
Madame Ping,"It is a testament to Ningguang:'s entire life, both as a businesswoman and as the backbone of the Liyue Qixing."
Madame Ping,"Seeing the Jade Chamber destroyed in the defense of Liyue means much to her. To me, such cooperation and sacrifice deserves at least some recognition, don't you agree?"
Ningguang: "Well, I was really hoping you would say that such sacrifice could at least be used as some leverage in our negotiations."
Madame Ping,...Heh.
Ningguang: "Thank you all for hearing me out. We know very well why the adepti came here today... But please forgive us, we cannot yield to your wishes."
Moon Carver,Oh?
Ningguang: "3,700 years... According to our records, the adepti signed a contract with Rex Lapis to protect Liyue 3,700 years ago."
Ningguang: "Even to this very day, Liyue and its lands have stood the test of time, immovable as stone, just as it was thousands of years before. This is truly no small feat."
Ningguang: But that does not mean that Liyue today is the same city as it was all those years ago.
Ningguang: "Do not merely cast your protective gaze upon the land. Instead, focus your sights on our city and each of the citizens that dwell within it."
Moon Carver,Are you questioning our means of protecting Liyue?
Mountain Shaper,Hmm...
Ningguang: I mean no offense. I simply hope that our new adepti forebearers would see Liyue in a new light.
Cloud Retainer: "Hah, ""forebearers"" you say. One doubts you would be fit to be part of such a lineage..."
Ningguang: "This morning, Rex Lapis appeared to me in a dream."
Cloud Retainer: What?
Ningguang: "In the dream, I yearned to tell him that we Qixing, though mortal, are equally bound to the contract. Each passing generation of the Qixing leaves many things of value to be inherited by the next generation."
Ningguang: "I also thought to tell him how the past generations of Qixing had strove under his rule to survive in our mortal world, establishing a network of contracts which has since come to be known as ""trade."""
Ningguang: But I dared not speak. I could only gaze at him in silence until the moment I awoke.
Paimon: "Aw, Ningguang:..."
Traveller: We're all on the same side here...
Cloud Retainer: "Yet another perspective... What are you trying to say, Outlander?"
Traveller: When there is discord between the guardians and those they were meant to defend...
Traveller: Harmony becomes very difficult to restore.
Paimon: "Right, that's something that happened in Mondstadt — it's a story about the Four Winds and the people of the Anemo Archon."
Paimon: "The Anemo Archon sought to quell the strife between the two sides, because he believed that such conflict would only scar the hearts of both and that nothing good would come of it..."
Traveller: This is what we learned in the City of Freedom.
Keqing: Each of the Seven Nations has its own scars from the past.
Mountain Shaper,Though your point is the very height of simplicity...
Mountain Shaper,"As adepti, we've become a laughingstock, to be chastised thus by an outlander who has lent us such succor."
Madame Ping,"Alright, alright. Didn't Ningguang: suggest that we should focus on the city and each of its citizens? I know I already have, so why not see for yourselves?"
Fengyan,I apologize for appearing in full armor. I'm afraid I cannot show the proper courtesies.
Moon Carver,And who are you?
Fengyan,"I am Fengyan, a sergeant of the Millelith. I have come to extend my thanks to the adepti."
Fengyan,"I thought this battle would perhaps be my last. But thanks to the aid of the adepti, our forces were not as badly battered as I feared we might be."
Fengyan,"Although I am a mere mortal soldier, I promise to hold the line and never betray the grace given to us by the illuminated adepti this day."
Moon Carver,...
Xiao: ...
Changchang,Huh? Why does everyone look so down? Didn't we just beat that big monster?
Madame Ping,"Hahaha! Weren't you frightened, dear? It was quite the predicament..."
Changchang,"I wasn't afraid. All the strong Millelith guards were there, and those powerful heroes with their Visions were there... Everyone was there!"
Changchang,"When danger is near, everyone always protects me. And the rest of the time, they make fun toys, and tasty snacks, and... and loads of things that make the harbor so pretty!"
Changchang,Thanks for protecting Liyue Harbor! Please come visit us for the next Lantern Rite!
Xiao: "Unfortunately, we wouldn't be able to participate."
Changchang,Huh?
Xiao: Because we are adepti.
Changchang,"Oh, okay... It must be hard being an adeptus."
Paimon: Aww...
Madame Ping,"You see, this is what Liyue is like today."
Madame Ping,The country of contracts is grateful to the adepti for their protection. But it is no longer necessary for the city to rely on the adepti's power to solve every little niggling matter.
Madame Ping,"Although their blood is weak, there is still strength to be found in those we call mortals..."
Madame Ping,The time of contracts between gods and Liyue has long since passed. Now is the time of contracts between Liyue and its people.
Mountain Shaper,"Hmm, seeing the port around us now, it is hard not to feel a bit out of place... wouldn't you say so, Cloud Retainer:?"
Cloud Retainer: Your line of inquiry is askew. One did not spearhead this expedition to Liyue Harbor...
Paimon: Hmm... seems like the adepti have had a change of heart.
Traveller: They've listened to what the people have said.
Traveller: And they're trying to understand things from their perspective.
Xiao: Let us return now.
Moon Carver,"...Eager to leave, Conqueror of Demons?"
Madame Ping,Hehehe...
Mountain Shaper,"Yes, one understands what the Conqueror of Demons means. The city of Liyue has changed much after our long separation."
Mountain Shaper,"One fears that by the time one finally grasps the new contracts of Liyue, you humans would have once again changed the place beyond recognition."
Mountain Shaper,"Fair enough. Away we shall, and return whence we came..."
Moon Carver,Hmph...
Moon Carver,"Since we adepti have consensus, then one shall persist no further."
Moon Carver,"But how will we ensure that the Liyue Qixing will not simply exploit their power once we depart? In my view, that is still a thing to be guarded against..."
Ningguang: *chuckles*
Madame Ping,"Alright, Moon Carver. You needn't worry. It seems to me that this right of supervision is best left to the people of Liyue."
Paimon: "Whew... Looks like the conflict between humans and adepti was avoided. All's well that ends well, huh?"
Traveller: You can say that again...
Traveller: The adepti were quite reasonable in the end...
Paimon: "Oh, right! It's nice that we've got peace and all, but we're forgetting one thing!"
Paimon: Childe: wanted to unleash the god so he could lure Rex Lapis out!
Paimon: But we were able to handle the Overlord of the Vortex on our own... So Rex Lapis never showed up!
Paimon: "Oh, and speaking of that — don't we still need to get to the bottom of that archon's ""death,"" too?"
Paimon: "Paimon: doesn't get it... But, isn't the strongest lead we have the adepti-less Rite of Parting that we're organizing?"
Paimon: No idea where Zhongli:'s gone. Let's ask for him atWangsheng Funeral Parlor.
Ferrylady,Is there anything I can do for you two? I'm afraid that Wangsheng Funeral Parlor isn't in the best state to receive guests.
Paimon: We've come to see Zhongli:. Could you please tell him we're here?
Ferrylady,"Unfortunately, Zhongli: isn't here at the moment. It seems he went to Northland Bank."
Paimon: Doesn't the Northland Bank belong to the Fatui?
Paimon: Last time we saw Zhongli: was before we went to the Golden House...
Paimon: Do you think he doesn't know about the attack on Liyue? Visiting the Fatui at a time like this could only mean more trouble!
Paimon: We had better go and make sure that everything is okay.
Ferrylady,"Come to think of it, I wonder what business Mr. Zhongli: has at the Northland Bank? He didn't tell me, either..."
Childe:,"You call this ""cooperation between Harbingers""? Cooperation involves communication, you know..."
Signora,"Hehe, don't take it to heart, Childe:. Besides, weren't you happy that you got to skip the formalities and bring chaos to the land? I'm sure you must've enjoyed that..."
Signora,"...Oh, it seems that some of your friends have arrived."
Paimon: "Hey, it's Zhongli: and Childe:! And... you! You're also one of the Harbingers..."
